,movie_id,country_name
784,tt0263499,mexico
785,tt1045089,usa
786,tt0045245,italy
787,tt3188400,usa
788,tt1245891,"norway, denmark"
789,tt0149158,usa
790,tt0044390,usa
791,tt0869974,usa
792,tt0811617,usa
793,tt1583330,usa
794,tt0408832,uk
795,tt0064507,west germany
796,tt1694009,austria
797,tt0445074,uk
798,tt4026166,usa
799,tt0360804,canada
800,tt1727379,usa
801,tt2310750,usa
802,tt0089920,usa
803,tt0140315,greece
804,tt0870132,usa
805,tt4689758,usa
806,tt2369125,cambodia
808,tt0250959,usa
809,tt3328978,usa
810,tt4726268,"usa, china"
811,tt3469964,"china, france"
812,tt3257140,australia
815,tt0153739,usa
816,tt0041924,japan
817,tt0174633,west germany
818,tt3483964,usa
819,tt5970378,usa
820,tt2397294,uk
822,tt3021698,usa
823,tt0454808,usa
824,tt5882356,australia
826,tt1623675,japan
828,tt3288042,"spain, usa"
829,tt7472924,japan
830,tt0262652,usa
831,tt7416536,south africa
833,tt3832912,guam
834,tt2002714,"germany, ireland, uk"
835,tt3275044,uk
836,tt0025651,usa
837,tt3872846,usa
838,tt4846630,canada
839,tt0208256,usa
840,tt0134146,usa
841,tt2355924,usa
842,tt3633708,japan
843,tt4949952,uk
844,tt0453704,usa
846,tt0039327,india
847,tt0178233,italy
848,tt0451783,uk
849,tt4181412,usa
850,tt5152462,"pakistan, usa"
851,tt0467028,usa
852,tt0318116,"lebanon, france"
853,tt3793624,usa
854,tt4425402,thailand
855,tt1325630,usa
856,tt0910895,usa
857,tt2389376,usa
858,tt1972758,canada
859,tt3233570,usa
860,tt1842468,usa
861,tt0823685,uk
862,tt0033011,usa
863,tt1559323,usa
865,tt2361589,uk
866,tt0309286,soviet union
867,tt5135230,usa
868,tt0063371,czechoslovakia
869,tt0354221,usa
870,tt1135588,usa
871,tt3421856,china
872,tt0378188,iran
873,tt4690052,brazil
874,tt0846105,denmark
875,tt4692234,"portugal, france, germany, switzerland"
876,tt2217923,usa
877,tt0923925,finland
878,tt4345910,india
879,tt4794402,philippines
880,tt0387697,usa
881,tt0462308,usa
882,tt6293328,usa
883,tt4726582,uk
884,tt3147384,usa
885,tt0986273,usa
887,tt1766112,usa
888,tt0381389,bulgaria
889,tt4108562,usa
890,tt0196719,usa
891,tt1792585,netherlands
892,tt0153773,usa
893,tt1520338,spain
895,tt0469814,usa
896,tt0114917,uk
898,tt0127925,netherlands
899,tt0326537,usa
900,tt1854275,usa
902,tt7118068,usa
903,tt1674743,usa
905,tt2100494,usa
906,tt0309844,uk
907,tt5754514,netherlands
908,tt2701298,uk
909,tt2112879,usa
910,tt0030763,usa
911,tt0021873,usa
912,tt0362689,usa
913,tt2760420,uk
914,tt1955089,canada
915,tt0433639,usa
916,tt5087174,usa
917,tt1074556,italy
918,tt0234748,usa
919,tt4141320,croatia
921,tt0390382,canada
922,tt7407122,usa
924,tt3909908,usa
925,tt7364706,usa
926,tt1931497,"japan, usa"
927,tt2780714,"usa, antarctica"
928,tt0160739,usa
929,tt0403167,usa
930,tt7207076,canada
932,tt2136742,armenia
933,tt2857772,denmark
934,tt5613660,usa
935,tt1601166,usa
936,tt2900646,india
937,tt0048181,india
938,tt0335345,usa
939,tt3470508,trinidad and tobago
940,tt0088859,usa
941,tt4697942,usa
942,tt2023379,canada
943,tt0325493,uk
945,tt1432905,canada
946,tt1625020,usa
947,tt4302088,usa
948,tt3894064,usa
949,tt0826549,usa
951,tt4742088,usa
952,tt0109480,usa
953,tt3026476,usa
954,tt4581030,usa
955,tt5296984,usa
956,tt2058631,usa
957,tt2278807,usa
958,tt3881230,usa
959,tt0127846,usa
960,tt2852204,usa
961,tt4208350,uk
962,tt0034297,usa
963,tt5430412,"switzerland, vietnam, italy"
964,tt3656282,usa
965,tt3415554,taiwan
966,tt2386798,usa
967,tt0452623,usa
