,movie_id,awards_unclean,award_name,award_qty,extra_award_name,extra_award_qty,nomination_name,nomination_qty,extra_nomination_name,extra_nomination_qty
135033,tt0376943,1 win.,,,unknown,1.0,,,,
135060,tt5116314,1 win.,,,unknown,1.0,,,,
135063,tt0069815,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
135066,tt2299710,1 nomination.,,,,,,,unknown,1.0
135080,tt0120591,nominated for 4 oscars. another 15 wins & 35 nominations.,,,unknown,15.0,oscar,4.0,unknown,35.0
135087,tt0437890,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135090,tt0844283,7 wins.,,,unknown,7.0,,,,
135106,tt4116320,1 win.,,,unknown,1.0,,,,
135130,tt2332707,2 wins & 6 nominations.,,,unknown,2.0,,,unknown,6.0
135132,tt1667827,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135135,tt4227384,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135152,tt3552286,1 nomination.,,,,,,,unknown,1.0
135185,tt0103873,13 wins & 5 nominations.,,,unknown,13.0,,,unknown,5.0
135191,tt0286085,5 wins.,,,unknown,5.0,,,,
135192,tt0090060,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135194,tt0899299,1 win.,,,unknown,1.0,,,,
135214,tt0412930,3 wins & 8 nominations.,,,unknown,3.0,,,unknown,8.0
135232,tt3900206,8 wins & 16 nominations.,,,unknown,8.0,,,unknown,16.0
135235,tt0139927,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
135244,tt7272986,7 wins.,,,unknown,7.0,,,,
135265,tt1792643,1 win & 6 nominations.,,,unknown,1.0,,,unknown,6.0
135281,tt0192610,2 wins.,,,unknown,2.0,,,,
135308,tt0416680,1 win.,,,unknown,1.0,,,,
135312,tt1687856,1 win & 8 nominations.,,,unknown,1.0,,,unknown,8.0
135367,tt0795370,5 nominations.,,,,,,,unknown,5.0
135369,tt1595858,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135386,tt0108256,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
135397,tt1172957,1 nomination.,,,,,,,unknown,1.0
135405,tt0851193,1 nomination.,,,,,,,unknown,1.0
135409,tt1477171,1 win & 5 nominations.,,,unknown,1.0,,,unknown,5.0
135420,tt5153198,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
135426,tt1612227,1 win.,,,unknown,1.0,,,,
135431,tt0239895,1 win.,,,unknown,1.0,,,,
135439,tt1050211,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
135442,tt0357092,3 wins & 3 nominations.,,,unknown,3.0,,,unknown,3.0
135444,tt3642524,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135449,tt0107530,3 nominations.,,,,,,,unknown,3.0
135487,tt0855824,2 wins & 4 nominations.,,,unknown,2.0,,,unknown,4.0
135506,tt2132485,nominated for 3 golden globes. another 3 wins & 33 nominations.,,,unknown,3.0,golden globe,3.0,unknown,33.0
135515,tt0221559,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135516,tt1709163,1 nomination.,,,,,,,unknown,1.0
135536,tt0432402,1 nomination.,,,,,,,unknown,1.0
135545,tt3455730,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135551,tt2404353,1 nomination.,,,,,,,unknown,1.0
135559,tt0028313,won 3 oscars. another 2 wins & 2 nominations.,oscar,3.0,unknown,2.0,,,unknown,2.0
135577,tt2023732,1 win.,,,unknown,1.0,,,,
135580,tt1698641,1 win & 8 nominations.,,,unknown,1.0,,,unknown,8.0
135587,tt4046548,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
135594,tt3632308,1 win.,,,unknown,1.0,,,,
135624,tt0043537,1 nomination.,,,,,,,unknown,1.0
135654,tt0496566,2 nominations.,,,,,,,unknown,2.0
135659,tt0074947,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135660,tt0032676,1 win.,,,unknown,1.0,,,,
135663,tt0275883,1 win.,,,unknown,1.0,,,,
135692,tt0015014,1 win.,,,unknown,1.0,,,,
135702,tt0254611,2 wins.,,,unknown,2.0,,,,
135713,tt0475728,1 win.,,,unknown,1.0,,,,
135736,tt3438460,1 nomination.,,,,,,,unknown,1.0
135747,tt0095799,3 wins.,,,unknown,3.0,,,,
135750,tt6141902,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
135755,tt2578668,1 win.,,,unknown,1.0,,,,
135759,tt2575948,1 nomination.,,,,,,,unknown,1.0
135762,tt0316218,2 wins & 13 nominations.,,,unknown,2.0,,,unknown,13.0
135764,tt3822614,3 nominations.,,,,,,,unknown,3.0
135777,tt0445396,2 wins.,,,unknown,2.0,,,,
135780,tt0493457,1 win.,,,unknown,1.0,,,,
