,movie_id,writer_name,writer_role
341,tt0127846,duck dumont,screenplay
342,tt0127846,lana lowe,screenplay
343,tt0034297,erskine caldwell,based on the novel by
344,tt0034297,jack kirkland,stage play
345,tt0034297,nunnally johnson,screenplay
346,tt3656282,dana sink,story
347,tt0452623,ben affleck,screenplay
348,tt0452623,aaron stockard,screenplay
349,tt0452623,dennis lehane,novel
350,tt0025630,daniel kusell,play
351,tt0025630,s.k. lauren,screenplay
352,tt1473440,marie winn,book
353,tt5182820,will glickman,play
354,tt5182820,joseph stein,play
355,tt2396396,seth grahame-smith,novel
356,tt2396396,javier soto,screenplay
357,tt0472809,frederick opper,comic strip
358,tt1664037,alexander jorgensen,story
359,tt6246170,harry baweja,story
360,tt6246170,jyoti deshpande,story
361,tt3327138,joseph arco,story
362,tt2379386,joel ross,story and screenplay
363,tt1262948,nicky mascine,original concept
364,tt1262948,nathan mayfield,original concept
365,tt1262948,fiona mcgary,race script
366,tt1490724,adam zielinski,story
367,tt2049383,pierre menard,novel
368,tt2795754,joanne pettry,created by
369,tt2795754,trent pettry,created by
370,tt0926058,darry logan,head writer
371,tt5147294,mitali singh baghel,original idea
372,tt2377700,cesare pavese,book
373,tt0073871,adriano bolzoni,screenplay
374,tt0073871,luigi latini de marchi,screenplay
375,tt3677232,george dewhurst,scenario
376,tt0027564,arthur t. horman,screenplay
377,tt0027564,paul perez,story
378,tt0027564,ewart adamson,story
379,tt0027564,arthur t. horman,adaptation
380,tt0149587,bob ogle,story
381,tt0149587,glan heisch,story
382,tt0039463,robert presnell sr.,screenplay
383,tt0039463,raoul whitfield,"story ""inside job"""
384,tt0039463,peter milne,additional dialogue
385,tt0056252,tod dockstader,story
386,tt0067725,rosemary davies,screenplay
387,tt0067725,philip saville,story
388,tt2150497,david marmor,story
389,tt3344694,sebastian barry,based on the novel by
390,tt0152998,steve h. mehoff,script
391,tt2758904,mike gagerman,story by
392,tt2758904,andrew waller,story by
393,tt2758904,mike gagerman,screenplay by
394,tt2758904,andrew waller,screenplay by
395,tt2758904,scot armstrong,screenplay by
396,tt0012282,frank roland conklin,scenario
397,tt0012282,scott darling,story
398,tt0385731,richard goldstone,screenplay
399,tt0385731,roy james,screenplay
400,tt0385731,ellis parker butler,original story
401,tt0025093,paul armstrong,play
402,tt0025093,joseph ernest peat,story
403,tt0025093,stuart anthony,screenplay
404,tt0025093,henry johnson,screenplay
405,tt0181748,lois zellner,screenplay
406,tt0181748,lois zellner,story
407,tt0096935,hans werner kettenbach,novel
408,tt0096935,laird koenig,screenplay
409,tt4451152,jillian jensen,storyline
410,tt0440614,mea reichert,play
411,tt1293663,olga printzlau,story
412,tt0417422,roy vera cruz,story
413,tt0417422,ben feleo,screenplay
414,tt0149675,ivan olbracht,novel
415,tt0149675,karel steklý,screenplay
416,tt1450670,jarred king,creator
417,tt1450670,will thomas,creator
418,tt3901530,james boring,screenplay
419,tt4861962,nunnally johnson,story
420,tt0016123,roland west,stage production
421,tt0016123,crane wilbur,stage play
422,tt0016123,willard mack,scenario
423,tt0016123,albert kenyon,scenario
424,tt0016123,c. gardner sullivan,titles by
425,tt0016123,roland west,adapted by
426,tt0121301,hugo stiglitz,story
427,tt0121301,juan manuel soler palavicini,story
428,tt0121301,hugo stiglitz,adaptation
429,tt0121301,juan manuel soler palavicini,adaptation
430,tt0092205,david kendall,book
431,tt0193464,dante cross,story
432,tt0055463,michael winner,screenplay
433,tt0376165,donald barthelme,short story
434,tt0783830,robert eddy,story
435,tt0783830,al giebler,titles
436,tt0783830,clarence hennecke,story
437,tt0783830,harry mccoy,story
438,tt2191926,omar walker,story
439,tt0075098,horace ové,screenplay
440,tt0075098,samuel selvon,screenplay
441,tt4462630,henley kim,story
442,tt4462630,skylah yeon,story
443,tt0047789,hans hellmut kirst,novel
444,tt0039922,torsten quensel,scenario
445,tt0039922,francis carco,story
446,tt0039922,roger richebé,story
447,tt0035183,ladislas fodor,play
448,tt0035183,gordon wellesley,adaptation
449,tt0035183,gordon wellesley,screenplay
450,tt0035183,brock williams,adaptation
451,tt0035183,brock williams,screenplay
452,tt0053251,antonia ridge,novel
453,tt1964705,raza burgee,story
454,tt0204252,magdy ahmed aly,screenplay
455,tt1580296,emer gillespie,story
456,tt1580296,elizabeth karr,story
457,tt3855864,joshua sienkiewicz,story
458,tt0013531,harry dittmar,story
459,tt0055232,james oliver curwood,novel
460,tt0055232,dwight hauser,additional narration material
461,tt0275733,jay lind,story
462,tt1528765,anna-leena härkönen,screenplay
463,tt0405075,henry lehrman,scenario
464,tt0310600,youssef el sebai,novel
465,tt0310600,abu seoud el-ibiary,dialogue
466,tt0310600,abu seoud el-ibiary,screenplay
467,tt0021607,theodore dreiser,novel
468,tt0021607,samuel hoffenstein,screenplay
469,tt4143998,m.j. farrell,play
470,tt4143998,john perry,play
471,tt5293310,vjekoslav katusin,story
472,tt0156706,claudio lattanzi,story
473,tt0156706,sheila goldberg,story
